ci,client,account_number,account_type,suspend
24935018,Desiri Tasseler,0174130708,current,true
19987036,Oby Perrygo,0337524548,debit,true
23701486,Rubina Backman,8375060909,current,false
16075022,Antoni Quare,3866570422,current,true
17569847,Morton Gartenfeld,7037043362,current,true
17564386,Cully Schellig,0592454452,debit,false
26705775,Renard Spriggs,8180490742,current,true
15657760,Pammi Meggison,5175258257,debit,false
24344152,Daniele Wimlett,2477359010,current,true
19452039,Jourdain Champken,8634947661,current,true
21884742,Urbanus Braffington,6192364516,debit,false
16589712,Orelee Studeart,8782123055,current,true
13104420,Breena Allchin,3125091470,debit,true
12831351,Reade Chuter,0839166273,current,false
22061739,Ianthe Dalglish,6904664053,debit,true
22473985,Cherry Hawke,2245236149,debit,false
25884576,Selena Trayford,4186913218,debit,true
25234431,Reuben Llywarch,6789720839,debit,false
29370693,Dory Isoldi,9506001405,debit,false
24459591,Augusto Hansill,9314702588,debit,true
26449880,Dud Musson,0673932508,debit,true
21656273,Lorelei Mateuszczyk,7208645590,debit,true
13887075,Rivi Daintith,4947187034,current,true
19166474,Carolann Shirt,2353536727,debit,false
16607579,Gratia Somerlie,0298394332,debit,false
12813619,Kerk McDuall,9013784968,current,true
24926287,Maryanna Sabatier,7428531330,debit,true
18962374,Larina Scogings,6627294486,current,false
29436509,James Picot,0300201443,current,false
29154174,Carla Jaye,3310915158,current,false
16403005,Nils Copson,9557076089,debit,true
28520338,Jayson Allsop,0093290276,current,false
21538692,Tandie Cords,5778450990,debit,false
28139280,Ebeneser Fateley,5182915829,current,false
22463002,Hayward Gathercoal,5246400271,current,false
23629365,Hayyim Pacquet,6645368313,current,true
27502394,Katharina Furmagier,4411380102,debit,false
23681011,Bron Mushett,7483834021,debit,true
13953873,Alexina Shiels,0221339531,debit,false
18717619,Mariel Hamfleet,1940986834,current,false
21283677,Candi Fritter,8448718305,current,false
14406772,Pauly Savile,8117474956,current,false
28972224,Cassie Giacobillo,8264203620,current,true
23388890,Vachel Itzig,1698349521,current,false
18945202,Allianora Weekland,9478790862,current,true
26843448,Teodor Bollands,3412769819,debit,false
14924163,Claribel Bounds,5076343809,current,false
19872598,Dietrich Roderham,1413654878,current,false
26519430,Aundrea McVeighty,3828004342,current,false
